Season,Week,GameStatus,Day,Date,AwayTeam,AwayRecord,AwayScore,AwayWin,HomeTeam,HomeRecord,HomeScore,HomeWin,AwaySeeding,HomeSeeding,PostSeason
2024,Week 18,FINAL,SUN,5-Jan,Saints,2-Feb,19,0,Buccaneers,1-Mar,27,1,,,0
2024,Week 18,FINAL,SUN,5-Jan,Texans,1-Mar,23,1,Titans,3-Jan,14,0,,,0
2024,Week 18,FINAL,SUN,5-Jan,49ers,2-Feb,24,0,Cardinals,3-Jan,47,1,,,0
2024,Week 18,FINAL,SUN,5-Jan,Chiefs,Apr-00,0,0,Broncos,2-Feb,38,1,,,0
2024,Week 18,FINAL,SUN,5-Jan,Seahawks,1-Mar,30,1,Rams,3-Jan,25,0,,,0
2024,Week 18,FINAL,SUN,5-Jan,Chargers,2-Feb,34,1,Raiders,2-Feb,20,0,,,0
2024,Week 18,FINAL,SUN,5-Jan,Dolphins,3-Jan,20,0,Jets,2-Feb,32,1,,,0
2024,Week 18,FINAL,SUN,5-Jan,Vikings,Apr-00,9,0,Lions,1-Mar,31,1,,,0
2024,Wild Card,FINAL,SAT,11-Jan,Chargers,6-Nov,12,0,Texans,7-Oct,32,1,5,4,1
2024,Wild Card,FINAL,SAT,11-Jan,Steelers,7-Oct,14,0,Ravens,5-Dec,28,1,6,3,1
2024,Wild Card,FINAL,SUN,12-Jan,Broncos,7-Oct,7,0,Bills,13-4,31,1,7,2,1
2024,Wild Card,FINAL,SUN,12-Jan,Packers,6-Nov,10,0,Eagles,14-3,22,1,7,2,1
2024,Wild Card,FINAL,SUN,12-Jan,Commanders,5-Dec,23,1,Buccaneers,7-Oct,20,0,6,3,1
2024,Wild Card,FINAL,MON,13-Jan,Vikings,14-3,9,0,Rams,7-Oct,27,1,5,4,1
2024,Divisional Playoffs,FINAL,SAT,18-Jan,Texans,7-Oct,14,0,Chiefs,15-2,23,1,4,1,1
2024,Divisional Playoffs,FINAL,SAT,18-Jan,Commanders,5-Dec,45,1,Lions,15-2,31,0,6,1,1
2024,Divisional Playoffs,FINAL,SUN,19-Jan,Rams,7-Oct,22,0,Eagles,14-3,28,1,4,2,1
2024,Divisional Playoffs,FINAL,SUN,19-Jan,Ravens,5-Dec,25,0,Bills,13-4,27,1,3,2,1
2024,Conference Championships,FINAL,SUN,26-Jan,Commanders,5-Dec,23,0,Eagles,14-3,55,1,6,2,1
2024,Conference Championships,FINAL,SUN,26-Jan,Bills,13-4,29,0,Chiefs,15-2,32,1,2,1,1
2024,Super Bowl,FINAL,SUN,9-Feb,Chiefs,15-2,22,0,Eagles,14-3,40,1,1,2,1
